ID,Date,m.Open,m.High,m.Low,m.Close,m.Adj.Close,m.Volume,m.subtract,Rm,ry.Open,ry.High,ry.Low,ry.Close,ry.Adj.Close,ry.Volume,ry.subtract,Rj,Rf,,date,total asset,intangibles,total liability,BV,,,,,,,,
1,2016-01-04,12920.59961,12928.90039,12748.5,12927.2002,12927.2002,186952500,6.600586,0.05109,73.269997,73.269997,72.050003,73.040001,66.385429,2359600,-0.229996,-0.3139,0.49,,2016-01-04,1200352,16888,1131037,52427,,,,,,,,
2,2016-01-05,12929.2002,12954.90039,12839.79981,12920.09961,12920.09961,181894700,-9.100586,-0.07039,73.209999,73.580002,72.360001,72.82,66.185463,2277400,-0.389999,-0.53271,0.48,,2016-01-05,1200352,16888,1131037,52427,,,,,,,,
3,2016-01-06,12854.59961,12854.59961,12701.7002,12726.79981,12726.79981,225652800,-127.799804,-0.9942,72.25,72.559998,71.470001,71.57,65.049355,2894900,-0.68,-0.94118,0.45,,2016-01-06,1200352,16888,1131037,52427,,,,,,,,
4,2016-01-07,12661.2002,12661.2002,12439.09961,12448.2002,12448.2002,293235700,-213,-1.6823,70.5,70.980003,70.199997,70.25,63.849621,3636500,-0.25,-0.35461,0.44,,2016-01-07,1200352,16888,1131037,52427,,,,,,,,
5,2016-01-08,12470.90039,12543.40039,12431.90039,12445.5,12445.5,220250200,-25.400391,-0.20368,71,71.029999,69.940002,70.07,63.686024,2616800,-0.93,-1.30986,0.44,,2016-01-08,1200352,16888,1131037,52427,,,,,,,,
6,2016-01-11,12464.5,12479.40039,12230,12319.29981,12319.29981,208496500,-145.200195,-1.16491,70.32,70.470001,69.860001,70.410004,63.995037,2293800,0.090004,0.12799,0.43,,2016-01-09,1200352,16888,1131037,52427,,,,,,,,
7,2016-01-12,12361.40039,12451.7002,12192.90039,12373.90039,12373.90039,258256000,12.5,0.10112,70.879997,71.43,70.040001,70.919998,64.45858,2765500,0.040001,0.05643,0.41,,2016-01-10,1200352,16888,1131037,52427,,,,,,,,
8,2016-01-13,12426.5,12499.5,12141.7002,12170.40039,12170.40039,261525900,-256.099609,-2.06092,71.300003,71.5,69.059998,69.150002,62.84985,3209100,-2.150001,-3.01543,0.4,,2016-01-11,1200352,16888,1131037,52427,,,,,,,,
9,2016-01-14,12176.29981,12362.79981,12060.29981,12336,12336,277737000,159.700195,1.31157,69.300003,69.75,68,69.57,63.231571,5310600,0.269997,0.38961,0.34,,2016-01-12,1200352,16888,1131037,52427,,,,,,,,
10,2016-01-15,12184.59961,12184.59961,11950.90039,12073.5,12073.5,285852400,-111.099609,-0.9118,68.07,68.139999,66.57,67.050003,60.941177,5710400,-1.019997,-1.49845,0.33,,2016-01-13,1200352,16888,1131037,52427,,,,,,,,
11,2016-01-18,12025.59961,12047.90039,11913.40039,11942.2002,11942.2002,100097400,-83.399414,-0.69352,66.510002,67.580002,66.510002,66.870003,60.777569,1543200,0.360001,0.54127,0.31,,2016-01-14,1200352,16888,1131037,52427,,,,,,,,
12,2016-01-19,12002.29981,12099.59961,11894.2002,12002.2002,12002.2002,281063700,-0.09961,-0.00083,67.779999,68.290001,67.099998,67.43,61.286556,4896500,-0.349999,-0.51638,0.31,,2016-01-15,1200352,16888,1131037,52427,,,,,,,,
13,2016-01-20,11897.59961,11932.40039,11531.2002,11843.09961,11843.09961,357071400,-54.5,-0.45808,66.639999,66.75,64.949997,65.620003,59.64146,5653500,-1.019996,-1.53061,0.41,,2016-01-16,1200352,16888,1131037,52427,,,,,,,,
14,2016-01-21,11834.90039,12070.7002,11772.2002,12035.90039,12035.90039,310391800,201,1.69837,66.080002,67.080002,65.629997,66.830002,60.741215,3894100,0.75,1.13499,0.43,,2016-01-17,1200352,16888,1131037,52427,,,,,,,,
15,2016-01-22,12191.59961,12389.59961,12191.59961,12389.59961,12389.59961,300418000,198,1.62407,67.5,69.339996,67.040001,69.339996,63.77644,5199500,1.839996,2.72592,0.45,,2016-01-18,1200352,16888,1131037,52427,,,,,,,,
16,2016-01-25,12377.5,12377.5,12130.29981,12143.2002,12143.2002,224918400,-234.299805,-1.89295,69.129997,69.129997,66.940002,67.029999,61.651783,2805200,-2.099998,-3.03775,0.48,,2016-01-19,1200352,16888,1131037,52427,,,,,,,,
17,2016-01-26,12192.29981,12374,12175.40039,12331.29981,12331.29981,247219300,139,1.14006,67.410004,68.059998,66.839996,67.620003,62.194443,3392700,0.209999,0.31152,0.48,,2016-01-20,1200352,16888,1131037,52427,,,,,,,,
