"","Date","X","m.Open","m.High","m.Low","m.Close","m.Adj.Close","m.Volume","m.subtract","Rm","ry.Open","ry.High","ry.Low","ry.Close","ry.Adj.Close","ry.Volume","ry.subtract","Rj","Rf","X.1","date","total.asset","intangibles","total.liability","BV","X.2","shares","MV","X.3","ratio","X.4","X.5","Open.x","High.x","Low.x","Close.x","Adj.Close.x","Volume.x","Open.y","High.y","Low.y","Close.y","Adj.Close.y","Volume.y"
"1","2016-01-04",1,12920.59961,12928.90039,12748.5,12927.2002,12927.2002,186952500,6.600586,0.05109,73.269997,73.269997,72.050003,73.040001,66.385429,2359600,-0.229996,-0.3139,0.49,NA,"2016-01-04",1200352,16888,1131037,52427,NA,1444,105469.7614,NA,0.497080863,NA,NA,42963.898438,42963.898438,41897.480469,42113.699219,42113.699219,122098600,4897.649902,4903.089844,4846.97998,4903.089844,4903.089844,2218420000
"2","2016-01-05",2,12929.2002,12954.90039,12839.79981,12920.09961,12920.09961,181894700,-9.100586,-0.07039,73.209999,73.580002,72.360001,72.82,66.185463,2277400,-0.389999,-0.53271,0.48,NA,"2016-01-05",1200352,16888,1131037,52427,NA,1444,105152.08,NA,0.498582624,NA,NA,42118.601563,42346.140625,41859.269531,42041.679688,42041.679688,186120200,4917.839844,4926.72998,4872.740234,4891.430176,4891.430176,1927380000
"3","2016-01-06",3,12854.59961,12854.59961,12701.7002,12726.79981,12726.79981,225652800,-127.799804,-0.9942,72.25,72.559998,71.470001,71.57,65.049355,2894900,-0.68,-0.94118,0.45,NA,"2016-01-06",1200352,16888,1131037,52427,NA,1444,103347.08,NA,0.507290579,NA,NA,42039.230469,42039.230469,41627.980469,41691.191406,41691.191406,185518000,4813.759766,4866.040039,4804.689941,4835.759766,4835.759766,2168620000
"4","2016-01-07",4,12661.2002,12661.2002,12439.09961,12448.2002,12448.2002,293235700,-213,-1.6823,70.5,70.980003,70.199997,70.25,63.849621,3636500,-0.25,-0.35461,0.44,NA,"2016-01-07",1200352,16888,1131037,52427,NA,1444,101441,NA,0.516822587,NA,NA,41688.75,41688.75,40611.300781,40661.570313,40661.570313,263904200,4736.399902,4788.02002,4688.169922,4689.430176,4689.430176,2552590000
"5","2016-01-08",5,12470.90039,12543.40039,12431.90039,12445.5,12445.5,220250200,-25.400391,-0.20368,71,71.029999,69.940002,70.07,63.686024,2616800,-0.93,-1.30986,0.44,NA,"2016-01-08",1200352,16888,1131037,52427,NA,1444,101181.08,NA,0.518150231,NA,NA,40661.808594,41242.558594,40154.941406,40265.371094,40265.371094,373461300,4722.02002,4742.569824,4637.850098,4643.629883,4643.629883,2288750000
"6","2016-01-11",6,12464.5,12479.40039,12230,12319.29981,12319.29981,208496500,-145.200195,-1.16491,70.32,70.470001,69.860001,70.410004,63.995037,2293800,0.090004,0.12799,0.43,NA,"2016-01-09",1200352,16888,1131037,52427,NA,1444,101672.0458,NA,0.515648127,NA,NA,40254.5,40749.679688,40128.46875,40706.890625,40706.890625,220635600,4673.439941,4683.02002,4573.779785,4637.990234,4637.990234,2391110000
"7","2016-01-12",7,12361.40039,12451.7002,12192.90039,12373.90039,12373.90039,258256000,12.5,0.10112,70.879997,71.43,70.040001,70.919998,64.45858,2765500,0.040001,0.05643,0.41,NA,"2016-01-10",1200352,16888,1131037,52427,NA,1444,102408.4771,NA,0.511940041,NA,NA,40717.988281,41070.929688,40717.988281,41022.738281,41022.738281,217279500,4681.540039,4714.799805,4618.029785,4685.919922,4685.919922,2147470000
"8","2016-01-13",8,12426.5,12499.5,12141.7002,12170.40039,12170.40039,261525900,-256.099609,-2.06092,71.300003,71.5,69.059998,69.150002,62.84985,3209100,-2.150001,-3.01543,0.4,NA,"2016-01-11",1200352,16888,1131037,52427,NA,1444,99852.60289,NA,0.5250439,NA,NA,41026.550781,41270.941406,40463.640625,41008.78125,41008.78125,207644900,4706.02002,4713.97998,4517.560059,4526.060059,4526.060059,2533200000
"9","2016-01-14",9,12176.29981,12362.79981,12060.29981,12336,12336,277737000,159.700195,1.31157,69.300003,69.75,68,69.57,63.231571,5310600,0.269997,0.38961,0.34,NA,"2016-01-12",1200352,16888,1131037,52427,NA,1444,100459.08,NA,0.52187418,NA,NA,41026.550781,41385.53125,40731.800781,41352.75,41352.75,162045600,4545.370117,4650.549805,4470.589844,4615,4615,2565560000
"10","2016-01-15",10,12184.59961,12184.59961,11950.90039,12073.5,12073.5,285852400,-111.099609,-0.9118,68.07,68.139999,66.57,67.050003,60.941177,5710400,-1.019997,-1.49845,0.33,NA,"2016-01-13",1200352,16888,1131037,52427,NA,1444,96820.20433,NA,0.541488219,NA,NA,41350.300781,41350.300781,40298.019531,40847.699219,40847.699219,258729300,4464.370117,4520.450195,4419.410156,4488.419922,4488.419922,2818630000
"11","2016-01-19",12,12002.29981,12099.59961,11894.2002,12002.2002,12002.2002,281063700,-0.09961,-0.00083,67.779999,68.290001,67.099998,67.43,61.286556,4896500,-0.349999,-0.51638,0.31,NA,"2016-01-15",1200352,16888,1131037,52427,NA,1444,97368.92,NA,0.5384367,NA,NA,40611.851563,41136.488281,40494.058594,40809.25,40809.25,220643500,4548.049805,4550.569824,4430.77002,4476.950195,4476.950195,2394550000
"12","2016-01-20",13,11897.59961,11932.40039,11531.2002,11843.09961,11843.09961,357071400,-54.5,-0.45808,66.639999,66.75,64.949997,65.620003,59.64146,5653500,-1.019996,-1.53061,0.41,NA,"2016-01-16",1200352,16888,1131037,52427,NA,1444,94755.28433,NA,0.553288404,NA,NA,40807.21875,40845.03125,39924.089844,40844.410156,40844.410156,239363100,4405.220215,4514.919922,4313.390137,4471.689941,4471.689941,3204130000
